eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations
50.0,16.293373107910156,500,,,,,,,,,,,,,,,
50.0,13.280265808105469,1000,,,,,,,,,,,,,,,
50.0,15.09132194519043,1500,,,,,,,,,,,,,,,
50.0,16.251270294189453,2000,,,,,,,,,,,,,,,
50.0,16.523605346679688,2500,-0.04775321589258965,0.2,10,0.354833984375,19674.12796936035,-5.2954646944999695,9860.7734375,0.0003,0.04314521,-6.020069122314453e-05,,,,,
50.0,8.98391342163086,3000,,,,,,,,,,,,,,,
50.0,13.842687606811523,3500,,,,,,,,,,,,,,,
50.0,8.363465309143066,4000,,,,,,,,,,,,,,,
50.0,13.861769676208496,4500,-0.05934471585787833,0.2,20,0.331591796875,23932.19289550781,-5.287857422232628,11237.8154296875,0.0003,0.040801033,0.0,,,,,
50.0,12.156281471252441,5000,,,,,,,,,,,,,,,
50.0,9.82521915435791,5500,,,,,,,,,,,,,,,
50.0,7.734704971313477,6000,,,,,,,,,,,,,,,
50.0,10.889984130859375,6500,-0.03582895021536388,0.2,30,0.353564453125,18648.195053100586,-5.27899931371212,10215.310546875,0.0003,0.039438203,0.0,,,,,
50.0,17.298080444335938,7000,,,,,,,,,,,,,,,
50.0,13.992809295654297,7500,,,,,,,,,,,,,,,
50.0,16.236303329467773,8000,,,,,,,,,,,,,,,
50.0,16.673912048339844,8500,-0.05637159975594841,0.2,40,0.34560546875,25649.81392211914,-5.268661685287952,11115.671875,0.0003,0.039786316,0.0,,,,,
50.0,18.206466674804688,9000,,,,,,,,,,,,,,,
50.0,15.86036491394043,9500,,,,,,,,,,,,,,,
50.0,11.843225479125977,10000,,,,,,,,,,,,,,,
50.0,10.79066276550293,10500,-0.03351480631681625,0.2,50,0.33466796875,18576.933499145507,-5.262794791162014,7889.48583984375,0.0003,0.038287856,5.960464477539063e-08,,,,,
50.0,13.474949836730957,11000,,,,,,,,,,,,,,,
50.0,10.591466903686523,11500,,,,,,,,,,,,,,,
50.0,7.782463073730469,12000,,,,,,,,,,,,,,,
50.0,17.87076187133789,12500,-0.04277885205519851,0.2,60,0.366455078125,20412.440298461916,-5.255830644071102,9823.3603515625,0.0003,0.042538792,0.0,,,,,
50.0,13.86506462097168,13000,,,,,,,,,,,,,,,
50.0,11.592327117919922,13500,,,,,,,,,,,,,,,
50.0,10.70064926147461,14000,,,,,,,,,,,,,,,
50.0,11.695639610290527,14500,-0.04129565624170937,0.2,70,0.36162109375,19842.932043457033,-5.246984253823757,9828.4140625,0.0003,0.03943859,-1.1920928955078125e-07,,,,,
50.0,12.576849937438965,15000,,,,,,,,,,,,,,,
50.0,11.596124649047852,15500,,,,,,,,,,,,,,,
50.0,7.422202110290527,16000,,,,,,,,,,,,,,,
50.0,9.946416854858398,16500,-0.03811296738276724,0.2,80,0.3701171875,17359.299655151368,-5.235543686151504,7396.36279296875,0.0003,0.04064648,-1.1920928955078125e-07,,,,,
50.0,12.436538696289062,17000,,,,,,,,,,,,,,,
50.0,7.59794282913208,17500,,,,,,,,,,,,,,,
50.0,9.533854484558105,18000,,,,,,,,,,,,,,,
50.0,7.73129940032959,18500,-0.04230411808239296,0.2,90,0.34560546875,20714.085665893555,-5.229271496832371,11016.7392578125,0.0003,0.041425914,1.1920928955078125e-07,,,,,
50.0,0.0,19000,,,,,,,,,,,,,,,
50.0,0.0,19500,,,,,,,,,,,,,,,
50.0,0.0,20000,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,20,521.4932402,50.0,993,10
50.0,10.595488548278809,20500,-0.04189484896487557,0.2,100,0.325390625,21663.723684692384,-5.220251719653606,9437.5390625,0.0003,0.039691083,1.1920928955078125e-07,,,,,
50.0,15.672491073608398,21000,,,,,,,,,,,,,,,
50.0,16.004268646240234,21500,,,,,,,,,,,,,,,
50.0,17.74399185180664,22000,,,,,,,,,,,,,,,
50.0,7.579700946807861,22500,,,,,,,,,,,,,,,
50.0,11.486711502075195,23000,-0.02684742015117081,0.2,110,0.387939453125,15077.350497436524,-5.208312512934208,8046.2822265625,0.0003,0.043761283,1.7881393432617188e-07,,,,,
50.0,11.625944137573242,23500,,,,,,,,,,,,,,,
50.0,8.11768913269043,24000,,,,,,,,,,,,,,,
50.0,7.511157989501953,24500,,,,,,,,,,,,,,,
50.0,14.628190994262695,25000,-0.04353349662560504,0.2,120,0.360693359375,16835.40852050781,-5.198571492731571,7341.3681640625,0.0003,0.04136864,1.7881393432617188e-07,,,,,
50.0,10.948070526123047,25500,,,,,,,,,,,,,,,
50.0,13.680570602416992,26000,,,,,,,,,,,,,,,
50.0,10.223885536193848,26500,,,,,,,,,,,,,,,
50.0,20.024150848388672,27000,-0.04145188052207231,0.2,130,0.387158203125,16694.972915649414,-5.192743021249771,9649.73046875,0.0003,0.04200171,-1.1920928955078125e-07,,,,,
50.0,15.051941871643066,27500,,,,,,,,,,,,,,,
50.0,13.945167541503906,28000,,,,,,,,,,,,,,,
50.0,13.957286834716797,28500,,,,,,,,,,,,,,,
50.0,8.828876495361328,29000,-0.052249444869812575,0.2,140,0.381201171875,21810.316619873047,-5.19208177626133,12113.75390625,0.0003,0.045283444,-1.1920928955078125e-07,,,,,
50.0,8.857854843139648,29500,,,,,,,,,,,,,,,
50.0,10.811118125915527,30000,,,,,,,,,,,,,,,
50.0,11.116997718811035,30500,,,,,,,,,,,,,,,
50.0,10.89016056060791,31000,-0.05447763877455145,0.2,150,0.35595703125,21866.024560546874,-5.189681290090084,10345.6259765625,0.0003,0.041205723,0.0,,,,,
50.0,16.542091369628906,31500,,,,,,,,,,,,,,,
50.0,8.416446685791016,32000,,,,,,,,,,,,,,,
50.0,13.882349014282227,32500,,,,,,,,,,,,,,,
50.0,8.519171714782715,33000,-0.04077445944130886,0.2,160,0.3595703125,17499.788375854492,-5.185487404465675,7778.42919921875,0.0003,0.039765835,-1.1920928955078125e-07,,,,,
50.0,16.667980194091797,33500,,,,,,,,,,,,,,,
50.0,15.49540901184082,34000,,,,,,,,,,,,,,,
50.0,13.811784744262695,34500,,,,,,,,,,,,,,,
50.0,11.813941955566406,35000,-0.032875519267690834,0.2,170,0.41845703125,12733.822923278809,-5.174620716273784,6778.53515625,0.0003,0.047070503,-1.1920928955078125e-07,,,,,
50.0,10.694239616394043,35500,,,,,,,,,,,,,,,
50.0,18.941905975341797,36000,,,,,,,,,,,,,,,
50.0,6.333882808685303,36500,,,,,,,,,,,,,,,
50.0,12.091571807861328,37000,-0.035111366445198654,0.2,180,0.38173828125,16649.9787109375,-5.159213188290596,7271.974609375,0.0003,0.045012683,-1.1920928955078125e-07,,,,,
50.0,7.886127471923828,37500,,,,,,,,,,,,,,,
50.0,13.418022155761719,38000,,,,,,,,,,,,,,,
50.0,15.21156120300293,38500,,,,,,,,,,,,,,,
50.0,19.045063018798828,39000,-0.039556234018527904,0.2,190,0.39072265625,15935.64151611328,-5.150343382358551,7028.82958984375,0.0003,0.048478596,0.0,,,,,
50.0,10.945279121398926,39500,,,,,,,,,,,,,,,
50.0,14.475852966308594,40000,,,,,,,,,,,,,,,
50.0,13.428199768066406,40500,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,42,485.36603980000007,50.0,953,20
50.0,19.331649780273438,41000,-0.039298177225282414,0.2,200,0.3705078125,16409.687649536132,-5.148548713326454,7379.7216796875,0.0003,0.04433528,-1.1920928955078125e-07,,,,,
50.0,16.491243362426758,41500,,,,,,,,,,,,,,,
50.0,14.39706802368164,42000,,,,,,,,,,,,,,,
50.0,18.43963050842285,42500,,,,,,,,,,,,,,,
50.0,14.987007141113281,43000,,,,,,,,,,,,,,,
50.0,12.189298629760742,43500,-0.04837926751933992,0.2,210,0.361572265625,18631.46664123535,-5.142742404341698,8242.2080078125,0.0003,0.041522633,0.0,,,,,
50.0,12.346016883850098,44000,,,,,,,,,,,,,,,
50.0,12.552398681640625,44500,,,,,,,,,,,,,,,
50.0,14.151983261108398,45000,,,,,,,,,,,,,,,
50.0,12.038423538208008,45500,-0.04276565444015432,0.2,220,0.36259765625,16448.31815185547,-5.134710524976254,8102.29736328125,0.0003,0.040633764,-1.1920928955078125e-07,,,,,
50.0,11.719482421875,46000,,,,,,,,,,,,,,,
50.0,8.579915046691895,46500,,,,,,,,,,,,,,,
50.0,9.861705780029297,47000,,,,,,,,,,,,,,,
50.0,17.382251739501953,47500,-0.044277738145319746,0.2,230,0.379541015625,19331.441339111327,-5.1239450290799144,8618.619140625,0.0003,0.04196219,-1.1920928955078125e-07,,,,,
50.0,12.332277297973633,48000,,,,,,,,,,,,,,,
50.0,18.659645080566406,48500,,,,,,,,,,,,,,,
50.0,7.809165000915527,49000,,,,,,,,,,,,,,,
50.0,6.985318183898926,49500,-0.038073348524631,0.2,240,0.39169921875,16089.954904174805,-5.114203087985516,8146.75439453125,0.0003,0.04269687,0.0,,,,,
50.0,13.934736251831055,50000,,,,,,,,,,,,,,,
50.0,10.876964569091797,50500,,,,,,,,,,,,,,,
50.0,12.624948501586914,51000,,,,,,,,,,,,,,,
50.0,15.991995811462402,51500,-0.03701189982530195,0.2,250,0.373681640625,13348.022213745116,-5.105034436285496,7379.18310546875,0.0003,0.042142592,5.960464477539063e-08,,,,,
50.0,10.589426040649414,52000,,,,,,,,,,,,,,,
50.0,14.338153839111328,52500,,,,,,,,,,,,,,,
50.0,9.748335838317871,53000,,,,,,,,,,,,,,,
50.0,13.770454406738281,53500,-0.03277631606615614,0.2,260,0.35849609375,16410.534072875977,-5.103166510164738,6392.41259765625,0.0003,0.041625656,0.0,,,,,
50.0,15.609739303588867,54000,,,,,,,,,,,,,,,
50.0,12.687121391296387,54500,,,,,,,,,,,,,,,
50.0,11.307991027832031,55000,,,,,,,,,,,,,,,
50.0,17.362272262573242,55500,-0.04488924059260171,0.2,270,0.3599609375,18021.88698425293,-5.100274503231049,7902.802734375,0.0003,0.040836237,1.1920928955078125e-07,,,,,
50.0,14.910577774047852,56000,,,,,,,,,,,,,,,
50.0,10.176074028015137,56500,,,,,,,,,,,,,,,
50.0,15.603036880493164,57000,,,,,,,,,,,,,,,
50.0,11.720724105834961,57500,-0.041521273052785544,0.2,280,0.425146484375,12189.484368896485,-5.088362742960453,4346.876953125,0.0003,0.04768282,0.0,,,,,
50.0,9.094675064086914,58000,,,,,,,,,,,,,,,
50.0,13.36445426940918,58500,,,,,,,,,,,,,,,
50.0,14.619847297668457,59000,,,,,,,,,,,,,,,
50.0,14.129373550415039,59500,-0.04004790501930984,0.2,290,0.370849609375,16596.654595947264,-5.0878901273012165,8843.685546875,0.0003,0.042952344,0.0,,,,,
50.0,9.150856971740723,60000,,,,,,,,,,,,,,,
50.0,9.237372398376465,60500,,,,,,,,,,,,,,,
